"# Product Variants","Active","Activity Exception Decoration","Can be Sold","Cost","Cost Currency","Currency","Favorite","Forecasted Quantity","Internal Reference","Name","Product Template Tags","Quantity On Hand","Sales Price","Show On Hand Qty Status Button","Type"
"1","True","","True","21.0","THB","THB","Normal","0.0","","ရွှေရင်အေး","","0.0","30.0","","Consumable"
"1","True","","True","21.0","THB","THB","Normal","0.0","","ရှားစောင်း","","0.0","40.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","ရှောက်သီးသုတ်","","0.0","30.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","လက်ဖက်ထမင်းနယ်","","0.0","40.0","","Consumable"
"1","True","","True","10.5","THB","THB","Normal","0.0","","လဖက်ရည် ကျစိမ့်","","0.0","15.0","","Consumable"
"1","True","","True","10.5","THB","THB","Normal","0.0","","လဖက်ရည် ချိုစိမ့်","","0.0","15.0","","Consumable"
"1","True","","True","10.5","THB","THB","Normal","0.0","","လဖက်ရည် ပုံမှန်","","0.0","15.0","","Consumable"
"1","True","","True","10.5","THB","THB","Normal","0.0","","လဖက်ရည် ဖန်ချို","","0.0","15.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","သင်္ဘော","","0.0","20.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","သင်္ဘောသီးထောင်း","","0.0","30.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","သစ်ခွ","","0.0","20.0","","Consumable"
"1","True","","True","28.0","THB","THB","Normal","0.0","","သရက်","","0.0","40.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","သရက်-soda","","0.0","20.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","သရက်သီးသုတ်","","0.0","30.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","သီးစုံထမင်းကြော်","","0.0","40.0","","Consumable"
"1","True","","True","42.0","THB","THB","Normal","0.0","","သီးစုံဖာလူဒါ","","0.0","60.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","သံပုရာ","","0.0","20.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","သံဗူး","","0.0","20.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","အကြော်စုံ","","0.0","15.0","","Consumable"
"1","True","","True","14.0","THB","THB","Normal","0.0","","အပ်မှို ထောင်း","","0.0","30.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","အပ်မှိုကြော်","","0.0","15.0","","Consumable"
"1","True","","True","7.0","THB","THB","Normal","0.0","","အာလူးကြော်","","0.0","15.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","အာလူးထမင်းနယ်","","0.0","40.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","အာလူးထမင်းနယ် + ဒညင်းသီး","","0.0","45.0","","Consumable"
"1","True","","True","0.0","THB","THB","Normal","0.0","","အာလူးမာလာ","","0.0","40.0","","Consumable"
